فارسی,english
نوتري سنتري اسليپ (ملاتونين 3م کپسول,NUTRI CENTURY SLEEP CAP
سندروس تقويت جنسي کپسول (باجن سين 45عددي,SANDROUS GINSING PLUS ARGENIN
گل مغربي روغن کپسول وبرنچرال,WEBBER NATURALS EVENING PRIMROSE CAP
پرزرويژن +امگاومينرال کپسول,PRESERVISION 3 CAP
جوينت پلاس کپسول قوطي 90 عددي,
اس امپرازول 40م کپسول ايراني,اس امپرازول 40م کپسول ايراني
کارديوفيد کپسول (امگا3واسيدفوليک وسيرخارجي,کارديوفيد کپسول (امگا3واسيدفوليک وسيرخارجي
لانسوپرازول کپسول 15 ميلي گرم,LANSOPRAZOLE 15 MG CAP IRANI
مکس مسل آمينومکس کپسول 360عددي,مکس مسل آمينومکس کپسول 360عددي
ايميون ساپورت 120عددي کپسول (نچرال,NATURAL WORLD IMMUNE SUPPORT CAP
منوپوز فري کپسول  (ميکس نچرال,MIX NATURAL MENOPUASE FREE CAP
پروستات هلث 30عدد شيف کپسول,پروستات هلث 30عدد شيف کپسول
اکاليپتوس کپسول باريچ 30عددي,اکاليپتوس کپسول باريچ 30عددي
اولتاپ 20م (امپرازول خارجي کپسول,ULTOP (OMEPRAZOLE 20 MG CAP
کليندامايسين کپسول 150 ميلي گرم,CLINDAMYCIN HCL 150 MG CAP IRANI
سرکه سيب500م کپسول (وبرنچرال,WEBBER NATURALS APPLE CIDER VINEGAR
ساتورکس کپسول گياهي ضدچربي وفشار,ساتورکس کپسول گياهي ضدچربي وفشار
سندروس کپسول (نوفلو سرماخوردگي 45ع,SANDROUS NO FLU CAP
نوکارد 30م (کوآنزيم کيوتين کپسول,نوکارد 30م (کوآنزيم کيوتين کپسول
نوترا لايف نوکارد60م (کوآنزيم کيوتن کپسول,نوترا لايف نوکارد60م (کوآنزيم کيوتن کپسول
امگازون کپسول,امگازون (امگا3 کپسول
سلنيوم 200 آلفا کپسول,
ونلافاکسين 150م پيوسته رهش کپسول,VENLAFAXINE HCL SR 150 MG CAP
ميکس نچرال (روغن ماهي کپسول 60عددي,MIX NATURAL COD LIVER OIL CAP
ميکس نچرال (شارک 740م کپسول 60عددي,MIX NATURAL SHARK CAP
ميکس نچرال (گلوکزامين 500م کپسول,MIX NATURAL GLUCOSAMINE CAP
ساوپالمتوکپسول(سوپر نچرال 60عددي,SUPER NATURAL SAWPALMETTO CAP
لانسوپرازول کپسول 30 ميلي گرم,LANSOPRAZOLE 30 MG CAP IRANI
ليريکا150م کپسول (پرگابالين,LYRICA (PREGABALIN 150 MG CAP
ميکس نچرال (امگا9-6-3 کپسول 60عددي,MIX NATURAL OMEGA 3-6-9-CAP
منستروگل کپسول گياهي,MENSTRUGOL CAP
استراسيد 140م (استراموستين کپسول,ESTRAMUSTINE SODIUM PHOSPHATE 140 MG CAP
آگرنوکس (دي پيريدامول باآسپرين کپسول,آگرنوکس (دي پيريدامول باآسپرين کپسول
فني توئين 100م خارجي کپسول (فايز,EPANUTIN (PHENYTOIN SODIUM 100 MG CAP FIZER
روهمورين کپسول,RHUEMRRIN CAP
اورامين اي کپسول ژلاتيني,ORAMIN E CAP
سل يولوزکپسول (سلوليت 90عددي,سل يولوزکپسول (سلوليت 90عددي
جينکوبيلوبا ويتارمونيل خارجي 30عددي قوطي,
شيف سلينوم باويتامين اي 120عددي,SCHIFF SELENIUM PLUS VIT E CAP
ميکسودين کپسول گياهي,MIXODIN CAP
ابسي لس کپسول کاهش دهنده وزن 60ع گياه اسانس,ابسي لس کپسول کاهش دهنده وزن 60ع گياه اسانس
لومکس کپسول 30 ع باريج اسانس,لومکس کپسول 30 ع باريج اسانس
کاستورکس پرل باريج 60ع (کرچک+رازيانه),کاستورکس پرل باريج 60ع (کرچک+رازيانه)
يونيک فارما کلسيم ليکوئيد 60 ع,يونيک فارما کلسيم ليکوئيد 60 ع
گلوکزامين+کندروتين(پرفلکس),HEALTH BURST PREFLEX CAP
آگنول باکاناسان کپسول,AGNUGOL BAKANASAN TAB
سنتري سوي ايزوفلاون کپسول,سنتري سوي ايزوفلاون کپسول
ويتارمونيل جين سينگ کپسول,VITARMONYL GINSENG CAP
ارليستات 60م کپسول,ORLISTAT 60MG CAPSULE
چاي سبز و دانه انگور کپسول,چاي سبز و دانه انگور کپسول
تامسولوسين (مدالوسين کپسول ايراني,MODALUSIN (TAMSULOSIN  0.4 MG CAP
سدامين کپسول,SEDAMIN CAP
نچرال ورد فول فلکس پلاس 60عددي,NATURAL WORLD FULL FLEX60CAP
ليتورکس بي 400م کپسول باريج اسانس 30عددي,ليتورکس بي 400م کپسول باريج اسانس 30عددي
ويتاسيپ کپسول,VITACIP CAP
نچرال ورد کربوبلاکر کپسول 60 عددي,NATURAL WORLD CARBO BLOCKER 60 CAP
آمينو 1000 کپسول 120عددي(GNC),آمينو 1000 کپسول 120عددي(GNC)
فلوکونازول کپسول 200 ميلي گرم,FLUCONAZOLE 200 MG CAP
ويتانز نيچر ويتامين اي 400 سافت ژل,ويتانز نيچر ويتامين اي 400 سافت ژل
گاستروليت باريج کپسول,GASTROLIT SOFT CAP
اکسي پرازول(امپرازول کپسول,OXYPRAZOLE (OMEPRAZOLE 20 MG CAP
گلوکزامين کندراتين باويتامين ث سيفلکس 90عددي کپسول,گلوکزامين کندراتين باويتامين ث سيفلکس 90عددي کپسول
کرون(پانکراتين 25000 کپسول,CREON 25000 (PANCREATIN 300 MG CAP
فولايرون فروس سولفات+فوليک اسيد کپسول,FOLIRON  FOLIC ACID CAP
امگارکس(امگا 3  کپسول 1000م,OMEGAREX CAP
نوتري لبس لينکس کپسول 180عددي,LEANX CAP
دپريلکس(ونلافاکسين 75 م پيوسته رهش کپسول,DEPRILAX (VENLAFAXINE 75 MG SR CAP
آناکپس Ducray کپسول,ANACAPS CAP
گليکوويت زرد کپسول,GLYCOVIT CAP
وبرنچرال امگا 3,WEBBER NATURALS OMEGA-3 CAP
دايجستيو کيمياگر کپسول,KIMIAGAR DIGESTIVE CAP
آلفا ويتامينز امگا 3 سافت ژل,ALPHA OMEGA 3 SOFT GEL
زينک گلوکونات 10 شربت سيمرغ,
آلفاآلفلکسيل 90عددي قرص (گلوکوزامين کندراتين,ALFLEXIL GLUCOSAMINE MSM 90 TABLETS
سوپرابيون کلسيترا کلسيم د زينک منيزيم کپسول,suprabion CAL MAG ZINC D CAP
شارک ليور 500م کپسول,شارک ليور 500م کپسول
اوروويتال زينک پلاس+ث 5م کپسول,EURHO VITAL VITAMIN C PLUS ZINC 5 M
نيچرگيفت کيد اسيست سافت ژل,NATURE'S GIFTS KID ASSIST SOFTGEL
آنتي ايجينگ کوکيوتن قرمز 100م کپسول 30ع,ANTI AGING CO Q10 RED 30 MG CAP
دپريلکس(ونلافاکسين 37.5م کپسول,DEPRILAX (VENLAFAXINE 37.5  MG  CAP
يوموگي کپسول,YOMOGY CAPSULE
پزودوافدرين (سودوژل کپسول نرم,پزودوافدرين (سودوژل کپسول نرم
آلوينتا(ونلافاکسين 75م کپسول,ALVENTA (VENLAFAXINE 75 MG CAP
رمينيل (گالانتامين 8م کپسول 28عددي پي ار,GALANTAMINE 8 MG CAP
ميکس نچرال چاي سبز کپسول,MIX NATURAL GREEN TEA CAP
اسليم مکس کپسول,SLIMMAX CAP
ژريويتون کپسول,GERIVITON CAP
والسارتان کپسول 40 ميلي گرم,VALSARTAN 40 MG CAP
پرگابالين 150م کپسول,PREGABALIN 150 MG CAP
پرگابالين 50 اکتوور,lyriver PREGABALIN 50 MG CAP
اسليم فول کپسول عددي,SLIM FULL CAP
سوتنت (سوني تينيب 25م کپسول,SUTENT (SUNITINIB 25 MG CAP
ارليستات زنوور120م کپسول (,زنوور120م کپسول (ارليستات
انرکس ايونينگ پريم رز کپسول,ENEREX EVENING PRIMROSE OIL CAP
پروکساژل 200 کپسول(ناپروکسن ژله اي),پروکساژل 200م (ناپروکسن کپسول
کالموفيت کپسول گياهي,کالموفيت کپسول گياهي
کلسيم دي جويدني (تافي قرص,کلسيم دي جويدني (تافي قرص
نوتري آمينو کپسول,نوتري آمينو کپسول
سولفادول 500/30کپسول(استامينوفن  کدينه,سولفادول 500/30کپسول(استامينوفن  کدينه
نوتري سنتري کوکيوتن 100م کپسول (کيو10,نوتري سنتري کوکيوتن 100م کپسول (کيو10
آسيفن کپسول,ACIFEN & NOVAFEN  CAP IRANI
پروزاک 20م کپسول (فلوکستين 24عددي,PROZAC (FLUOXETINE 20 MG CAP
سون سيز مکسپا فورت (امگا 3),سون سيز مکسپا فورت (امگا 3)
سون سيز مولتي مينرال  اسپکتروم کپسول,سون سيز مولتي مينرال  اسپکتروم کپسول
سون سيزمولتي اسپکتروم+جين سينگ,سون سيزمولتي اسپکتروم+جين سينگ
نيچرگيفت شارک پاور(غضروف کوسه),NATURE'S GIFTS SHARK POWER SOFTGEL
ليناوت 90عدد (کپسول لاغري),ليناوت 90عدد (کپسول لاغري)
فلوکستين20م آپو کپسول,APO-FLUOXETINE HCL 20 MG CAP
رمينيل 16م پي ارکپسول,REMINYL (GALANTAMINE 16 MG CAP
سنتري امگا 3 کپسول,CENTURY FISH OIL SOFTGEL
د3کپسول خارجي 2000,د3کپسول خارجي 2000
سنتري روغن ماهي,سنتري روغن ماهي
سنتري اي ويتامين  400 کپسول,CENTURY E 400 SOFTGEL
سنتري سلنيوم200م کپسول,CENTURY SELENIUM CAP
ففول (انگليسي)کپسول جعبه صورتي,ففول (انگليسي)کپسول جعبه صورتي
آناهيل کپسول  (بروملين 500,آناهيل کپسول  (بروملين 500
هيدروکسي اوره 500 آپو,HYDROXYUREA 500 MG CAPSULE
سون سيز امگا,سون سيز امگا
کولوفک 200 رتارد(مبورين),COLOFAC (MEBEVERINE 200 MG SR CAP
اوراتان 20 کپسول(ايزوترتينويين,ORATANE (ISOTRETINOIN 20 MG CAP
نوتروف کپسول,نوتروف کپسول
کاروديلول قرص 25 ميلي گرم,CARVEDILOL 25 MG TAB IRANI
فنيدان(فني توئين)100قرص,PHENYTOIN SODIUM 100 MG CAP
استامينوفن اطفال قرص,ACETAMINOPHEN 80 MG TAB
استامينوفن 325 ميلي قرص,ACETAMINOPHEN 325 MG TAB
گليسرين روغن کيمياداروسپهر,
استازولاميد قرص 250 ميلي گرم,ACETAZOLAMIDE 250 MG TAB
آسيکلووير قرص 200 ميلي گرم,ACICLOVIR 200 MG TAB
آسيکلووير قرص 400 ميلي گرم,ACICLOVIR 400 MG TAB
سرماخوردگي بزرگسال قرص,ADULT COLD TAB
تولترودين 1م قرص,TOLTERODINE TARTARATE 1MG TAB
تولترودين 2م قرص,TOLTERODINE TARTARATE 2MG TAB
آلوپورينول 100 قرص,ALLOPURINOL 100 MG TAB
آلپرازولام قرص 0/5 ميلي گرم,ALPRAZOLAM 0.5 MG TAB
گلي بنکلاميد 5م قرص ايراني,GLIBENCLAMIDE  5 MG TAB
آلتادين قرص,ALTADIN TAB
آفروديت قرص گل دارو,APHRODIT TABLET
بوسپيرون قرص 5 ميلي گرم,BUSPIRONE 5 MG TAB
آلومينيوم ام جي قرص,ALUMINIUM MG  10 MG TABLET
آلومينيوم ام جي اس قرص,ALUMINIUM MG S 20 MG TABLET
ترامادول  100 قرص,TRAMADOL HCL 100MG TAB
لوودوپاسي فورت 250 ميلي گرم,LEVODOPA C FORTE 250 MG TAB
آلپرازولام قرص 1 ميلي گرم,ALPRAZOLAM 1MG TAB
استئوفوس 10م قرص,OSTEOFOS (ALENDRONATE SODIUM 10 MG TAB
فلکاينيد 100م قرص,FLECAINIDE 100 MG TAB MYLAN
آمي تريپتيلين قرص 10 ميلي گرم,AMITRIPTYLINE 10 MG  TAB
آمي تريپتيلين قرص 25 ميلي گرم,AMITRIPTYLINE 25 MG  TAB
آمي تريپتيلين قرص 50 ميلي گرم,AMITRIPTYLINE 50 MG  TAB
آمي تريپتيلين قرص 100 ميلي گرم,AMITRIPTYLINE 100 MG  TAB
زولفت100م قرص (سرترالن,ZOLOFT (SERTRALIN HCL 100 MG TAB
يدوکينول قرص,IODOQUINOL 210 MG TABLET
کلسيم پانتوتنات  قرص,CALCIUM PANTOTHENATE 100 MG TAB
پاروکستين20قرص ايراني,PAROXETINE 20 MG TAB
سان لايف مولتي ويتامين جوشان قرص,SUN LIFE MULTIVITAMINS EFF TAB
آنتوم قرص,ANETHUM TAB
لوزار قرص 50 ميلي گرم,LOSARTAN 50 MG TAB IRANI
آنتوسيانوزيد-آ(ديفرارل) ايراني قرص,DIFRAREL (ANTHOCYANOSIDE A  TAB
آنتي هيستامين دکونژستانت قرص,ANTIHISTAMINE DECONGESTANT TAB
آسپرين جويدني قرص 100 ميلي گرم,ASA 100 MG CHEWABLE TAB
آسپرين قرص 325 ميلي گرم,ASA 325 MG TAB
آسپرين کدئين قرص,ASA CODEINE TAB
استيل سيستين (هگزال جوشان 600م قرص,ACETYLCYSTEINE 600 MG EFF TAB HEXAL
نورتريپتيلين قرص 25 ميلي گرم,NORTRIPTYLINE HCL 25MG TAB
آتنولول قرص 50 ميلي گرم,ATENOLOL 50 MG TABLET
سنالين قرص,SENALINE 7.5  TAB
کلاريترومايسين قرص(فروميليد)500ميلي گرم,FROMILID (CLARITHROMYCIN 500 MG TAB
آتنولول قرص 100 ميلي گرم,ATENOLOL 100 MG TABLET
ريس پريدون 1م خارجي قرص,RISPERIDONE 1 MG TAB
ب کمپلکس قرص باکاناسان,BAKANASAN VITAMIN B COMPLEX TAB
سروکسات(پاروکستين)20 قرص,SEROXAT (PAROXETINE 20 MG TAB
باکلوفن 10 قرص,BACLOFEN 10 MG TAB
باکلوفن 25 قرص,BACLOFEN 25 MG TAB
کارويديلول 25م هگزال قرص,CARVEDILOL 25 MG TAB HEXAL
بلادوناپي بي قرص,BELLADONNA PB TAB
اوروويتال کوکيوتن پلاس 30م کپسول,EURHO VITAL CO Q10 PLUS 30 MG CAP
کلداستاپ قرص,COLDSTOP (ADULT COLD TAB
بتامتازون قرص,BETAMETHASONE 0.5 MG TAB
تيزانيدين اکتوور تيزانوور,TIZANIDINE 4MG TAB
بي پريدين قرص 2 ميلي گرم,BIPERIDEN HCL 2 MG TAB
بيزاکوديل  قرص,BISACODYL 5 MG TAB
برم هگزين  8 قرص,BROMHEXINE HCL 8 MG TAB
بيسموت قرص 120 ميلي گرم,BISMUTH SUBCITRATE 120 MG TAB
لووتروکسين(ال تروکسين),L-THYROXINE (LEVOTHYROXINE 0.1 MG T
بروموکريپتين 2/5م قرص,BROMOCRIPTINE MESYLATE 2.5 MG TAB
ليتيوم کربنات قرص 300 ميلي گرم,LITHIUM CARBONATE 300 MG TAB
کلسيم جوشان ايراني قرص 10 عددي,CALCIUM FORTE EFF TAB IRAN
ايمورال 50م (آزاتيوپرين قرص,IMUREL (AZATIOPRINE 50 MG TAB
کلسيم دي  ايراني قرص,CALCIUM-D TAB
کلسيم کربنات قرص,CALCIUM CARBONATE 500 MG TAB
کاپتوپريل قرص 25 ميلي گرم,CAPTOPRIL 25 MG TAB
کاپتوپريل قرص 50 ميلي گرم,CAPTOPRIL 50 MG TAB
کاربامازپين قرص 200 ميلي گرم,CARBAMAZEPINE 200 MG TAB
لووتروکسين100ميکرو(مرک) قرص,EUTHYROX (LEVOTHYROXINE 0.1 MG TAB
بتاهيستين قرص,BETAHISTINE 2 HCL 8 MG TAB IRANI
سي لاکس قوطي قرص,C-LAX  TAB
کابرگولين 1م ايراني قرص,CABERGULINE 1 MG TAB IRANI
کارنيتين قرص250(تائيدي),CARNITINE 250 MG TAB
اکس کاربازپين 150 ميلي قرص,OXCARBAZEPINE 150 MG TAB
اکس کاربازپين 300ميلي قرص,OXCARBAZEPINE 300 MG TAB
اکس کارپين(اکس کاربازپين 600 قرص,OXCARBAZEPINE 600 MG TAB
چيلدرن کلد سرماخوردگي قرص,CHILDREN COLD TAB
کلرديازوپوکسايد قرص 5 ميلي گرم,CHLORDIAZEPOXIDE 5 MG TAB
کلرديازوپوکسايد قرص 10 ميلي گرم,CHLORDIAZEPOXIDE 10 MG TAB
کلروکين فسفات 150 قرص,CHLOROQUINE PHOSPHATE 150 MG TAB
کلرفنيرامين قرص,CHLORPHENIRAMINE MALEATE 4 MG TAB
کلرپرومازين قرص 25 ميلي گرم,CHLORPROMAZINE HCL 25 MG TAB
کلرپرومازين قرص 100 ميلي گرم,CHLORPROMAZINE HCL 100 MG TAB
ايبوپروفن (اکتوپين 200م قرص,ايبوپروفن (اکتوپين 200م قرص
تريميپرامين قرص 25 ميلي گرم,TRIMIPRAMINE MALEATE 25 MG TAB
سايمتيدين قرص,CIMETIDINE 200 MG TAB
سيلدنافيل  50م قرص,SILDENAFIL CITRATE 50 MG TAB
تيوريدازين قرص 10 ميلي گرم,THIORIDAZINE HCL 10MG TAB
سيپروفلوکساسين قرص 250 ميلي گرم,CIPROFLOXACIN HCL 250 MG TAB
سيپروفلوکساسين قرص 500 ميلي گرم,CIPROFLOXACIN HCL 500 MG TAB
سيمواستاتين 10م قرص,SIMVASTATIN 10 MG TAB
سيزاپرايد 10م قرص,CISAPRIDE MONOHYDRATE 10 MG TAB
کلماستين قرص,CLEMASTINE 1 MG  TABLET
کليدينيوم سي قرص,CLIDINIUM C TAB
کلوبوتينول قرص,CLOBUTINOL HCL 40 MG TAB
کلوميفن سيترات قرص 50 ميلي گرم,CLOMIPHENE CITRATE  50 MG TAB
کلوميپرامين قرص 10 ميلي گرم,CLOMIPRAMINE HCL 10 MG TAB
کلوميپرامين قرص 25 ميلي گرم,CLOMIPRAMINE HCL 25 MG TAB
کلوميپرامين قرص 75 ميلي گرم,CLOMIPRAMINE HCL 75 MG TAB
تيوريدازين قرص 100 ميلي گرم,THIORIDAZINE HCL 100MG TAB
کلونازپام قرص 1 ميلي گرم,CLONAZEPAM 1 MG TAB
کلونيدين قرص 0/2 ميلي گرم,CLONIDINE HCL 0.2 MG TAB
گلوکوزامين جوشان سوپرا قرص,SUPRA VIT GLUCOSAMIN EFF TAB
زينک پلاس(باکاناسان) قرص,BAKANASAN ZINC PLUS TAB
کوآموکسي کلاو قرص 375 ميلي گرم,CO-AMOXICLAV 375 (250/125) TAB
کوآموکسي کلاو قرص 625 ميلي گرم,CO-AMOXICLAV 625 (500/125) TAB
کوتريموکسازول اطفال قرص,CO-TRIMOXAZOLE (100/20)MG PED TAB
کوتريموکسازول بزرگسالان 400/80 قرص,CO-TRIMOXAZOLE (400/80)MG TAB
زينک پلاس(ويتاليا),VITALIA ZINC PLUS TAB
کلشي سين 1 قرص (مداسين),MODACIN (COLCHICINE 1 MG TAB
اکوئين (کونژوگتداستروژن625/ 0 قرص,EQUINE (CONJUGATED ESTROGENS 0.625
استروژن کونژوکه قرص(استرومارين) 0/625 ميلي گرم,CONJUGATED ESTROGENS 0.625 MG TAB
استروژن کونژوکه قرص(استرومارين)1/25 ميلي گرم,CONJUGATED ESTROGENS 1.25 MG TAB
کونژکتيداستروژن(اکوئين)1/25 قرص,EQUINE (CONJUGATED ESTROGENS 1.25 M
آلندرونيت(استومد)70 قرص,OSTOMOD (ALENDRONATE SODIUM 70 MG
آکولت(زفيرولوکاست)فوق ريه قرص,ACCOLATE (ZAFIRLUKAST 20MG TAB
کنتراسپتيو تري فازيک قرص,CONTRACEPTIVE TRIPHASIC 21 TAB
کنتراسپتيوال دي قرص,CONTRACEPTIVE LD 21 TAB
کنتراسپتيو اچ دي قرص,CONTRACEPTIVE HD 21 TAB
نچرال فکتورز ال آرژنين کپسول کانادائي,NATURAL FACTORS L ARGININE
ملوکاست 10م ايراني فوق ريه مسلح قرص,MONTELUKAST SODIUM 10 MG CHEW TAB
سيپروهپتادين قرص,CYPROHEPTADINE HCL 4 MG TAB
سيپروترون استات (آندروکور)قرص,CYPROTERONE ACETATE 50 MG TAB
سيپروترون کمپاند قرص ايراني,CYPROTERON COMPOUND TAB
ليکوئيد کلسيم سنتري,CENTURY liquid CALCIUM PLUS D TAB
فکسوفنادين قرص 60 ميلي گرم,FEXOFENADINE 60 MG TAB
تلفست60(فکسوفنادين) قرص,TELFAST (FEXOFENADINE 60MG TAB
گالانتامين  8 م قرص خارجي,GALANTAMINE 8 MG TAB
دگزامتازون قرص,DEXAMETHASONE 0.5MG TAB
فمارا(لترزول) نوارتيس اصلي  قرص,FEMARA (LETROZOLE 2.5 MG TAB
اوروويتال ويتافيت 100عددي هرعدد قرص,EURHO VITAL VITAFIT 100 TAB
رپاگلينايد قرص 1 ميلي گرم,NOVONORM (REPAGLINIDE 1 MG TAB
يوهمبين 2م ايراني قرص,YOHIMBINE HCL 2 MG  TAB IRANI
وارفارين 5 قرص,WARFARIN SODIUM 5 MG TABLET
دکسترومتوروفان قرص,DEXTROMETORPHAN HBR 15 TAB
ديازپام قرص 2 ميلي گرم,DIAZEPAM 2MG TAB
ديازپام قرص 5 ميلي گرم,DIAZEPAM 5MG TAB
ديازپام قرص 10 ميلي گرم,DIAZEPAM 10MG TAB
ديکلوفناک 25  قرص,DICLOFENAC SODIUM 25MG EC TAB
والسارتان کپسول 80 ميلي گرم,VALSARTAN 80MG CAP
دي سيکلومين  قرص,DICYCLOMINE HCL 10MG TAB
والسارتان کپسول 160 ميلي گرم,VALSARTAN 160MG CAP
رپاگلينايد 0/5م قرص,NOVONORM (REPAGLINIDE 0.5 MG TAB
دايجستيو قرص,DIGESTIVE EC TAB
ديگوکسين لانوکسين قرص,LANOXIN DIGOXIN 0.25MG TAB
دي هيدروارگوتامين قرص,DIHYDROERGOTAMINE MESYLATE 2.5MG TAB
ويتاگنوس قرص,VITAGNUS  0.25MG TABLET
رالوکسيفن قرص 60 ميلي گرم,RALOXIFENE 60 MG TAB
کروم دايت 66ميکروگرم هرعددي,CHROMDIET TAB
استئوفوس70 م قرص,OSTEOFOS (ALENDRONATE SODIUM 70 MG TAB
ديمن هيدرينات قرص,DIMENHYDRINATE 50MG TAB
دايمتيکون  قرص,DIMETHICONE 40MG TAB
ديفن هيدرامين 25م قرص,DIPHENHYDRAMINE HCL 25MG TAB
اويستا60(رالوکسيفن),EVISTA (RALOXIFENE 60 MG TAB
ديفنوکسيلات قرص,DIPHENOXYLATE 2.5MG TAB
دي پيريدامول 25م قرص,DIPYRIDAMOLE 25MG TAB
دي پيريدامول 75م قرص,DIPYRIDAMOLE 75MG TAB
اي ويتامين قرص 100 ايراني (شهردارو,VITAMIN E 100IU TAB SHAHR DARU
ديدروژسترون 5م قرص,DYDROGESTERONE 5MG TAB
انالاپريل قرص 5 ميلي گرم,ENALAPRIL MALEATE 5 MG TAB
انالاپريل قرص 20 ميلي گرم,ENALAPRIL MALEATE 20 MG TAB
استالوو 100 قرص,STALEVO 100 MG
ارگوتامين سي قرص,ERGOTAMINE C TAB
ارگوتامين کمپاند قرص,ERGOTAMINE COMPOUND TAB
اريترومايسين قرص 200 ميلي گرم,ERYTHROMYCIN ETHYLSUCCINATE 200 MG TAB
اريترومايسين قرص 400 ميلي گرم,ERYTHROMYCIN ETHYLSUCCINATE 400 MG TAB
استراديول والرات قرص 1 ميلي گرم,ESTRADIOL VALERATE 1 MG TAB
استراديول والرات قرص 2 ميلي گرم,ESTRADIOL VALERATE 2 MG TAB IRANI
استالوو 50 قرص,STALEVO 50 MG
اتينيل استراديول 0/05م قرص,ETHINYLESTRADIOL 0.05 MG TAB
اتامبوتول قرص ETB,ETHAMBUTOL HCL 400 MG TAB
اتينيل استراديول 0/5م قرص,ETHINYLESTRADIOL 0.5 MG TAB
فاموتيدين قرص 20 ميلي گرم,FAMOTIDINE 20 MG TAB
فاموتيدين قرص 40 ميلي گرم,FAMOTIDINE 40 MG TAB
هيدرالازين 25 خارجي ورقي قرص(هيدراپرس,HYDRAPESS (HYDRALAZINE 25 MG TABLE
نيکورانديل 10م (ايکوريل) قرص,IKOREL (NICORANDIL 10 MG TAB
فروس سولفات قرص,FERROUS SULFATE EQ TO 50 MG FE++ TAB
فينپشيا(فيناستريد) 1م هندي قرص,FINPECIA (FINASTERIDE 1 MG TAB CIPLA
نيکورانديل 20م قرص (ايکوريل),IKOREL (NICORANDIL 20 MG TAB
پاروکسيتين 20قرص آپوتکس ونوارتيس,PAROXETINE 20 MG TAB APO & NOVARTIS
فلودروکورتيزون قرص,FLUDROCORTISONE ACETATE 0.1 MG TAB
کلترکس کلسيم+د قرص,HEALTH BURST CALTREX TAB
نتونال 400م قرص گياهي باريج,TADAGRA (TADALAFIL 10MG TAB
مونته لوکاست/ ايروکاست قرص 10 ميلي گرم,ايروکاست 10م قرص (مونته لوکاست
بوپروپيون 150 رتارد ساندوز قرص,BUPROPION SR 150 MG TAB SANDOZE
گارلت (امين) قرص,GARLET TAB AMIN
فلوفنازين 1م قرص,FLUPHENAZINE 2 HCL 1 MG TAB
فلوفنازين 2/5م قرص,FLUPHENAZINE 2 HCL 2.5 MG TAB
آساکول 800م قرص (مسالازين,ASACOL (MESALAZINE 800MG TAB
فوليک اسيد 1م ايراني قرص,FOLIC ACID 1 MG TAB
وارفارين 5م ورقي,
لايف استيل جينکو بايلوبا قرص 60عددي,LIFE STYL GINKGO BILOBA
فورازوليدون قرص,FURAZOLIDONE 100 MG TAB
فوروزمايد قرص 40 ميلي گرم,FUROSEMIDE 40 MG TAB IRANI
پروپول ايد قرص جويدني (اکناسه اي سي,پروپول ايد قرص جويدني (اکناسه اي سي
استالوو150م قرص,STALEVO 150 MG
لووکس100(فلووکسامين),LUVOX (FLUVOXAMINE 100 MG TAB
زولپيدم قرص 5 ميلي گرم,ZOLPIDEM 5 MG TAB IRANI
وميگان قرص 500 ميلي گرم,VOMIGONE 500 MG TAB
تلفست 120م قرص,TELFAST (FEXOFENADINE 120MG TAB
فلوتان (فلوتاميد 250م خارجي قرص,FLUTAN® (FLUTAMIDE 250 MG TAB
کديمال اکسترا قرص,CODIMAL EXTRA TAB
گريزوفولوين 125م قرص,GRISEOFULVIN 125 MG TAB
ليورکر قرص هلث ايد,GUANETHIDINE MONOSULFATE 10 MG TAB
استروفم 2م 28عددي (استراديول قرص,ESTROFEM (ESTRADIOL 2 MG TAB
هالوپريدول قرص 0/5 ميلي گرم,HALOPERIDOL 0.5 MG TABLET
هالوپريدول قرص 5 ميلي گرم,HALOPERIDOL 5 MG TABLET
هالوپريدول 2م قرص,HALOPERIDOL 2 MG TABLET
هيدرالازين 10م ايراني,HYDRALAZINE 10 MG TABLET IRANI
هيدرالازين 25م ايراني,HYDRALAZINE 25 MG TABLET IRANI
هيدرالازين 50م  ايراني,HYDRALAZINE 50 MG TABLET IRANI
هيدروکلروتيازيد قرص 50 ميلي گرم,HYDROCHLORTHIAZIDE TABLET
هيدروکورتيزون 10ميلي قرص,HYDROCORTISON 10 MG TABLET
ويتامين ث جوشان حکيم قرص وآوه سينا,VITAMIN C HAKIM & AVESINA EFF TAB
هيدروکسي زين 10 قرص,HYDROXYZINE HCL 10 MG TABLET
هيدروکسي زين 25 قرص,HYDROXYZINE HCL 25 MG TABLET
هيوسين 10 قرص,HYOSCINE N-BUTYL BROMIDE 10 MG TABLET
ايبوبروفن 200م قرص,IBUPROFEN 200 MG TAB IRANI
ايبوبروفن 400م قرص,IBUPROFEN 400 MG TAB
ايمي پرامين قرص 10 ميلي گرم,IMIPRAMINE HCL 10 MG TAB
ايمي پرامين قرص 25 ميلي گرم,IMIPRAMINE HCL 25 MG TAB
ايمي پرامين قرص 50 ميلي گرم,IMIPRAMINE HCL 50 MG TAB
ايندومتاسين 75م رتاردقرص,INDOMETHACIN SR 75 MG TAB
کلوبازام 10م خارجي قرص,CLOBAZAM 10 MG TAB INDIA
تادالافيل قرص 10 ميلي گرم,TADALAFIL 10MG TAB
باکاناسان  سينامون پلاس 60عددي,BAKANASAN CINNAMON PLUS TAB
ايزونيازيد100م قرص,ISONIAZID 100 MG TAB
